X,Y,ACC_T_DESC,RD_U_DESC,LGA_NAME,REGION_NAM
2508215.796,2400842.975,Collision with vehicle,Motorcyclists,MONASH,METROPOLITAN SOUTH EAST REGION
2393914.484,2380247.44,Collision with vehicle,Passengers,COLAC OTWAY,SOUTH WESTERN REGION
2591342.411,2607576.833,Collision with vehicle,Passengers,MOIRA,NORTH EASTERN REGION
2591342.411,2607576.833,Collision with vehicle,Drivers,MOIRA,NORTH EASTERN REGION
2508126.719,2488400.553,Collision with vehicle,Motorcyclists,MITCHELL,NORTHERN REGION
2564973.052,2476688.783,Collision with a fixed object,Drivers,MURRINDINDI,NORTH EASTERN REGION
2392701.872,2354837.167,Collision with a fixed object,Drivers,COLAC OTWAY,SOUTH WESTERN REGION
2232974.151,2529269.447,Collision with a fixed object,Drivers,HORSHAM,WESTERN REGION
2900732.511,2434540.649,Collision with some other object,Drivers,EAST GIPPSLAND,EASTERN REGION
2238245.823,2398676.09,Collision with a fixed object,Motorcyclists,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION
2460777.397,2446510.468,Collision with a fixed object,Drivers,MACEDON RANGES,NORTHERN REGION
2500070.501,2423017.523,Collision with vehicle,Drivers,WHITTLESEA,METROPOLITAN NORTH WEST REGION
2494637.708,2420749.271,Struck Pedestrian,Pedestrians,MORELAND,METROPOLITAN NORTH WEST REGION
2455284.622,2457304.098,Collision with vehicle,Drivers,MACEDON RANGES,NORTHERN REGION
2233463.206,2580796.829,Collision with a fixed object,Passengers,HINDMARSH,WESTERN REGION
2233463.206,2580796.829,Collision with a fixed object,Drivers,HINDMARSH,WESTERN REGION
2505338.502,2422296.732,Struck Pedestrian,Pedestrians,BANYULE,METROPOLITAN NORTH WEST REGION
2504621.797,2433859.33,Collision with vehicle,Drivers,WHITTLESEA,METROPOLITAN NORTH WEST REGION
2499124.253,2403452.194,Struck Pedestrian,Pedestrians,PORT PHILLIP,METROPOLITAN NORTH WEST REGION
2487291.632,2405186.196,Collision with vehicle,Passengers,HOBSONS BAY,METROPOLITAN NORTH WEST REGION
2479895.826,2403667.164,Collision with vehicle,Drivers,HOBSONS BAY,METROPOLITAN NORTH WEST REGION
2307616.231,2594522.538,Collision with a fixed object,Passengers,BULOKE,NORTHERN REGION
2491099.894,2414572.004,Collision with vehicle,Drivers,MARIBYRNONG,METROPOLITAN NORTH WEST REGION
2470785.67,2461621.123,Collision with a fixed object,Drivers,MACEDON RANGES,NORTHERN REGION
2491799.801,2348182.805,Collision with vehicle,Passengers,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2491799.801,2348182.805,Collision with vehicle,Passengers,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2512112.865,2386721.336,Vehicle overturned (no collision),Drivers,KINGSTON,METROPOLITAN SOUTH EAST REGION
2443560.229,2378840.231,Struck Pedestrian,Pedestrians,GEELONG,SOUTH WESTERN REGION
2493625.544,2433693.188,Struck Pedestrian,Pedestrians,HUME,METROPOLITAN NORTH WEST REGION
2528443.811,2534179.806,Collision with a fixed object,Passengers,STRATHBOGIE,NORTH EASTERN REGION
2752185.987,2405105.596,Struck Pedestrian,Pedestrians,EAST GIPPSLAND,EASTERN REGION
2531135.609,2426189.754,Vehicle overturned (no collision),Passengers,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2648123.808,2357136.888,Collision with a fixed object,Passengers,WELLINGTON,EASTERN REGION
2590752.636,2550366.691,Struck Pedestrian,Pedestrians,BENALLA,NORTH EASTERN REGION
2766295.41,2400141.919,Struck Pedestrian,Pedestrians,EAST GIPPSLAND,EASTERN REGION
2527748.871,2379290.766,Collision with vehicle,Drivers,CASEY,METROPOLITAN SOUTH EAST REGION
2337647.297,2364044.09,Collision with vehicle,Drivers,CORANGAMITE,SOUTH WESTERN REGION
2277579.793,2345910.787,Collision with vehicle,Drivers,WARRNAMBOOL,SOUTH WESTERN REGION
2204276.744,2359147.484,Collision with a fixed object,Motorcyclists,GLENELG,SOUTH WESTERN REGION
2547789.023,2378183.335,Collision with vehicle,Drivers,CARDINIA,METROPOLITAN SOUTH EAST REGION
2527204.454,2400802.049,Struck Pedestrian,Pedestrians,KNOX,METROPOLITAN SOUTH EAST REGION
2501922.38,2410891.53,Collision with a fixed object,Passengers,BOROONDARA,METROPOLITAN SOUTH EAST REGION
2518898.426,2363063.547,Collision with vehicle,Drivers,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2518710.642,2386133.981,Struck Pedestrian,Pedestrians,DANDENONG,METROPOLITAN SOUTH EAST REGION
2483159.992,2597309.035,Collision with a fixed object,Drivers,CAMPASPE,NORTHERN REGION
2416757.925,2356352.552,Collision with a fixed object,Drivers,SURF COAST,SOUTH WESTERN REGION
2522107.05,2388279.096,Collision with vehicle,Drivers,CASEY,METROPOLITAN SOUTH EAST REGION
2512742.365,2405489.484,Collision with a fixed object,Motorcyclists,WHITEHORSE,METROPOLITAN SOUTH EAST REGION
2440406.044,2353084.928,Collision with vehicle,Drivers,SURF COAST,SOUTH WESTERN REGION
2535431.782,2543802.255,Collision with a fixed object,Drivers,STRATHBOGIE,NORTH EASTERN REGION
2537285.012,2423589.88,Collision with vehicle,Motorcyclists,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2330292.913,2422481.245,Collision with vehicle,Drivers,ARARAT,WESTERN REGION
2508336.343,2421908.134,Collision with vehicle,Motorcyclists,BANYULE,METROPOLITAN NORTH WEST REGION
2535684.757,2441433.575,Collision with a fixed object,Drivers,MURRINDINDI,METROPOLITAN SOUTH EAST REGION
2511975.791,2400068.152,Collision with a fixed object,Drivers,MONASH,METROPOLITAN SOUTH EAST REGION
2565788.3,2594742.123,Collision with a fixed object,Drivers,MOIRA,NORTH EASTERN REGION
2509301.199,2577804.18,Collision with vehicle,Drivers,CAMPASPE,NORTHERN REGION
2383716.1,2557106.167,Collision with a fixed object,Passengers,LODDON,NORTHERN REGION
2541677.412,2380841.744,Collision with vehicle,Drivers,CARDINIA,METROPOLITAN SOUTH EAST REGION
2504792.996,2408902.782,Collision with vehicle,Drivers,BOROONDARA,METROPOLITAN SOUTH EAST REGION
2495844.64,2433377.471,Collision with a fixed object,Drivers,WHITTLESEA,METROPOLITAN NORTH WEST REGION
2528428.345,2542965.043,Collision with vehicle,Drivers,STRATHBOGIE,NORTH EASTERN REGION
2533495.425,2413498.528,Collision with vehicle,Passengers,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2715530.047,2400131.218,Collision with vehicle,Motorcyclists,EAST GIPPSLAND,EASTERN REGION
2304566.052,2486213.714,Collision with vehicle,Drivers,NORTHERN GRAMPIANS,WESTERN REGION
