ACCIDENT_DATE,SEVERITY,Accident Count
2013-07-01,Fatal accident,2
2013-07-01,Other injury accident,20
2013-07-01,Serious injury accident,19
2013-07-02,Other injury accident,22
2013-07-02,Serious injury accident,15
2013-07-03,Fatal accident,1
2013-07-03,Other injury accident,26
2013-07-03,Serious injury accident,11
2013-07-04,Fatal accident,1
2013-07-04,Other injury accident,20
2013-07-04,Serious injury accident,11
2013-07-05,Fatal accident,1
2013-07-05,Other injury accident,23
2013-07-05,Serious injury accident,7
2013-07-06,Other injury accident,28
2013-07-06,Serious injury accident,17
2013-07-07,Fatal accident,1
2013-07-07,Other injury accident,11
2013-07-07,Serious injury accident,9
2013-07-08,Other injury accident,35
2013-07-08,Serious injury accident,6
2013-07-09,Fatal accident,1
2013-07-09,Other injury accident,25
2013-07-09,Serious injury accident,14
2013-07-10,Fatal accident,1
2013-07-10,Other injury accident,35
2013-07-10,Serious injury accident,16
2013-07-11,Other injury accident,24
2013-07-11,Serious injury accident,9
2013-07-12,Fatal accident,2
2013-07-12,Other injury accident,18
2013-07-12,Serious injury accident,7
2013-07-13,Fatal accident,1
2013-07-13,Other injury accident,30
2013-07-13,Serious injury accident,11
2013-07-14,Fatal accident,1
2013-07-14,Other injury accident,7
2013-07-14,Serious injury accident,7
2013-07-15,Other injury accident,22
2013-07-15,Serious injury accident,12
2013-07-16,Fatal accident,1
2013-07-16,Other injury accident,16
2013-07-16,Serious injury accident,13
2013-07-17,Other injury accident,20
2013-07-17,Serious injury accident,14
2013-07-18,Other injury accident,30
2013-07-18,Serious injury accident,11
2013-07-19,Fatal accident,2
2013-07-19,Other injury accident,33
2013-07-19,Serious injury accident,13
2013-07-20,Other injury accident,26
2013-07-20,Serious injury accident,14
2013-07-21,Other injury accident,17
2013-07-21,Serious injury accident,11
2013-07-22,Fatal accident,2
2013-07-22,Other injury accident,21
2013-07-22,Serious injury accident,11
2013-07-23,Fatal accident,1
2013-07-23,Other injury accident,20
2013-07-23,Serious injury accident,11
2013-07-24,Other injury accident,16
2013-07-24,Serious injury accident,16
2013-07-25,Other injury accident,20
2013-07-25,Serious injury accident,16
2013-07-26,Fatal accident,2
2013-07-26,Other injury accident,31
2013-07-26,Serious injury accident,13
2013-07-27,Other injury accident,24
2013-07-27,Serious injury accident,8
2013-07-28,Other injury accident,15
2013-07-28,Serious injury accident,5
2013-07-29,Other injury accident,27
2013-07-29,Serious injury accident,10
2013-07-30,Other injury accident,25
2013-07-30,Serious injury accident,14
2013-07-31,Fatal accident,3
2013-07-31,Other injury accident,19
2013-07-31,Serious injury accident,12
2013-08-01,Fatal accident,1
2013-08-01,Other injury accident,36
2013-08-01,Serious injury accident,14
2013-08-02,Fatal accident,3
2013-08-02,Other injury accident,25
2013-08-02,Serious injury accident,12
2013-08-03,Fatal accident,1
2013-08-03,Other injury accident,31
2013-08-03,Serious injury accident,10
2013-08-04,Other injury accident,15
2013-08-04,Serious injury accident,10
2013-08-05,Other injury accident,16
2013-08-05,Serious injury accident,7
2013-08-06,Other injury accident,17
2013-08-06,Serious injury accident,18
2013-08-07,Other injury accident,35
2013-08-07,Serious injury accident,12
2013-08-08,Other injury accident,20
2013-08-08,Serious injury accident,8
2013-08-09,Fatal accident,1
2013-08-09,Other injury accident,20
2013-08-09,Serious injury accident,7
2013-08-10,Other injury accident,21
2013-08-10,Serious injury accident,10
2013-08-11,Other injury accident,17
2013-08-11,Serious injury accident,6
2013-08-12,Other injury accident,28
2013-08-12,Serious injury accident,8
2013-08-13,Fatal accident,1
2013-08-13,Other injury accident,18
2013-08-13,Serious injury accident,13
2013-08-14,Other injury accident,20
2013-08-14,Serious injury accident,11
2013-08-15,Other injury accident,27
2013-08-15,Serious injury accident,13
2013-08-16,Other injury accident,27
2013-08-16,Serious injury accident,13
2013-08-17,Fatal accident,2
2013-08-17,Other injury accident,24
2013-08-17,Serious injury accident,10
2013-08-18,Fatal accident,2
2013-08-18,Other injury accident,7
2013-08-18,Serious injury accident,16
2013-08-19,Other injury accident,36
2013-08-19,Serious injury accident,15
2013-08-20,Other injury accident,31
2013-08-20,Serious injury accident,10
2013-08-21,Fatal accident,1
2013-08-21,Other injury accident,23
2013-08-21,Serious injury accident,14
2013-08-22,Other injury accident,20
2013-08-22,Serious injury accident,15
2013-08-23,Fatal accident,1
2013-08-23,Other injury accident,28
2013-08-23,Serious injury accident,10
2013-08-24,Fatal accident,2
2013-08-24,Other injury accident,19
2013-08-24,Serious injury accident,15
2013-08-25,Other injury accident,25
2013-08-25,Serious injury accident,10
2013-08-26,Fatal accident,1
2013-08-26,Other injury accident,12
2013-08-26,Serious injury accident,13
2013-08-27,Fatal accident,3
2013-08-27,Other injury accident,27
2013-08-27,Serious injury accident,9
2013-08-28,Other injury accident,30
2013-08-28,Serious injury accident,11
2013-08-29,Fatal accident,1
2013-08-29,Other injury accident,26
2013-08-29,Serious injury accident,10
2013-08-30,Other injury accident,26
2013-08-30,Serious injury accident,9
2013-08-31,Other injury accident,21
2013-08-31,Serious injury accident,19
2013-09-01,Other injury accident,26
2013-09-01,Serious injury accident,10
2013-09-02,Other injury accident,32
2013-09-02,Serious injury accident,6
2013-09-03,Other injury accident,33
2013-09-03,Serious injury accident,13
2013-09-04,Fatal accident,1
2013-09-04,Other injury accident,29
2013-09-04,Serious injury accident,6
2013-09-05,Fatal accident,1
2013-09-05,Other injury accident,31
2013-09-05,Serious injury accident,15
2013-09-06,Other injury accident,28
2013-09-06,Serious injury accident,16
2013-09-07,Fatal accident,2
2013-09-07,Other injury accident,21
2013-09-07,Serious injury accident,14
2013-09-08,Other injury accident,17
2013-09-08,Serious injury accident,10
2013-09-09,Fatal accident,1
2013-09-09,Other injury accident,16
2013-09-09,Serious injury accident,5
2013-09-10,Other injury accident,23
2013-09-10,Serious injury accident,11
2013-09-11,Fatal accident,1
2013-09-11,Other injury accident,32
2013-09-11,Serious injury accident,11
2013-09-12,Other injury accident,23
2013-09-12,Serious injury accident,14
2013-09-13,Other injury accident,20
2013-09-13,Serious injury accident,7
2013-09-14,Fatal accident,1
2013-09-14,Other injury accident,31
2013-09-14,Serious injury accident,4
2013-09-15,Other injury accident,14
2013-09-15,Serious injury accident,12
2013-09-16,Other injury accident,36
2013-09-16,Serious injury accident,13
2013-09-17,Fatal accident,1
2013-09-17,Other injury accident,25
2013-09-17,Serious injury accident,10
2013-09-18,Other injury accident,35
2013-09-18,Serious injury accident,7
2013-09-19,Other injury accident,22
2013-09-19,Serious injury accident,10
2013-09-20,Other injury accident,37
2013-09-20,Serious injury accident,14
2013-09-21,Fatal accident,1
2013-09-21,Other injury accident,21
2013-09-21,Serious injury accident,13
2013-09-22,Fatal accident,1
2013-09-22,Other injury accident,19
2013-09-22,Serious injury accident,11
2013-09-23,Fatal accident,1
2013-09-23,Other injury accident,21
2013-09-23,Serious injury accident,13
2013-09-24,Fatal accident,3
2013-09-24,Other injury accident,23
2013-09-24,Serious injury accident,15
2013-09-25,Other injury accident,26
2013-09-25,Serious injury accident,11
2013-09-26,Fatal accident,1
2013-09-26,Other injury accident,21
2013-09-26,Serious injury accident,8
2013-09-27,Other injury accident,22
2013-09-27,Serious injury accident,11
2013-09-28,Fatal accident,2
2013-09-28,Other injury accident,20
2013-09-28,Serious injury accident,9
2013-09-29,Fatal accident,1
2013-09-29,Other injury accident,27
2013-09-29,Serious injury accident,19
2013-09-30,Other injury accident,23
2013-09-30,Serious injury accident,19
2013-10-01,Other injury accident,23
2013-10-01,Serious injury accident,16
2013-10-02,Other injury accident,31
2013-10-02,Serious injury accident,10
2013-10-03,Other injury accident,26
2013-10-03,Serious injury accident,12
2013-10-04,Fatal accident,1
2013-10-04,Other injury accident,25
2013-10-04,Serious injury accident,23
2013-10-05,Fatal accident,1
2013-10-05,Other injury accident,25
2013-10-05,Serious injury accident,17
